id,created_at,author,likes,followers_count,place,search_term,text
1225924526208237568,2020-02-07 23:29:18,838050958026252288,12,203,,Impeached,@Blue2Reaganite Have you guys watched the #UkraineFinalPiece video yet? Trump found out the Obama admin laundered 1.8 BILLION for Ukraine. So they went on the offense and impeached Trump. Hunter’s accounts will expose it all. Follow the money!
1225924431257784326,2020-02-07 23:28:55,949251433060356096,19,546,,Impeached,"@realDonaldTrump Ok, oh impeached one."
1225924374479372289,2020-02-07 23:28:42,714559883408900096,11,6529,,Impeached,"Can someone step up for America, and give Don a BJ? Then Republicans will insist he's impeached.

Lindsey, Devin, Bill, and 'Gym'. This doesn't include you guys. Everyone already knows you're providing Don that 'service'."
1225924373070123010,2020-02-07 23:28:41,1128485641480753154,8,1,,Impeached,"@Antifascist_Vet @RepAdamSchiff Can Obama be impeached now for all of those violations. Clearly that's who you are talking about. Trump's been acquitted which means ""not guilty"". However it's a known fact Obama did those violations. Let's do it!"
1225924206367473664,2020-02-07 23:28:02,744070482832596992,102,45645,,Impeached,"YHN: Sen. Doug Jones (D-AL) says Democrats wanted President Donald Trump ""impeached from the time he took his hand off the Bible"""
1225924107197349896,2020-02-07 23:27:38,1074296659482435584,106,23,,Impeached,@austinruse @PeterZwack Every issue Vindman had with Trump and Ukraine was born out. Trump ended up being impeached and would have been removed if Romney weren't the only Rethuglican with a spine.
1225924045989912577,2020-02-07 23:27:23,826748679436529665,23,1504,,Impeached,@TheLoyalO @IMontoyaResists William Barr is a disgrace to office of Attorney General.  He should be disbarred for lying to Congress and if it can be shown he suppressed legitimate investigation he should be impeached. https://t.co/cSZORHBmaE
1225924025941209089,2020-02-07 23:27:19,817865861117726721,16,28,,Impeached,"@itsJeffTiedrich @realDonaldTrump Correction @itsJeffTiedrich: PresTrump might have been impeached BUT the * will explain he was acquitted b/c the impeachment was planned before he was inaugurated,was not based on any crimes,was strictly political&amp;shows how the Dems can't be trusted&amp;are 100% failures."
1225924006005682178,2020-02-07 23:27:14,405807780,5,1,,Impeached,"@ChuyForCongress @Eira4Water @OrtizStateRep @theresamah4rep @rodriguezfor22 You should be impeached. . . H.R. 5383, really?  You are awful!"
1225923755542810630,2020-02-07 23:26:14,757487756314566657,11,431,,Impeached,@NCGirl99167702 @JanetPearman @AlanDersh “Impeached” is past tense.  He was acquitted and the impeachment was torn up.  Same with Clinton.  It’s over. https://t.co/z9M46e18UN
1225923616686137344,2020-02-07 23:25:41,1175060184600850432,19,894,,Impeached,@JesseKellyDC @NonsenseEnd The President was not acquitted of any wrongdoing. He was only allowed to remain in office. He’s still impeached and will be #ImpeachedForever
1225923584608145413,2020-02-07 23:25:33,865507521431085058,12,476,,Impeached,Imagine living in a country where a Decorated Veteran can be thrown out of of the people's House by a snivling draft dodging and vindictive COWARD. Impeached for eternity Traitor Trump fires honorable veteran for telling the truth. https://t.co/MsAIBfdFPa
1225923381389860864,2020-02-07 23:24:45,827814256301187073,16,2258,,Impeached,"I've just done some basic calculations - do you know the net worth of Donald John Trump [impeached]?

FUCKALL"
1225923334082375680,2020-02-07 23:24:34,1062348800721862656,11,5289,,Impeached,"@johngacinski @neal_katyal Youre an asscloud...

forever IMPEACHED."
1225923153211215877,2020-02-07 23:23:50,1198612257812430848,5,129,,Impeached,"@CarolScheel @itsJeffTiedrich @rkturn0 @realDonaldTrump I have a feeling Jeff's been brainwashed by the MSM that being ""impeached"" means something ... you can indict/impeach a hand sandwhich..
What was the verdict of the accusation? NOT GUILTY! 😆😆😆 5 more years"
1225922940342095873,2020-02-07 23:23:00,66360919,10,13377,,Impeached,"America, Think about this FACT Trump has Stopped All Republican Presidential Candidates from engaging in Debates or Primaries. Who the FK Made him King, Oh, Right The Republican GOP, who are Terrified of the Delusional Lying Impeached Dictator! https://t.co/tJsm9Kd1Xm"
1225922914131861505,2020-02-07 23:22:53,388284727,7,384,,Impeached,@AmazonMotoring @Monterey_333 @nytimes Ummm A MOLE? wouldn’t have come forward with no promise of protection from the prosecution. Today he got his reward for being honest and courageous. He will always be a hero trump ? Always impeached
1225922729884475393,2020-02-07 23:22:10,862780810725916672,25,3354,,Impeached,"@RepSwalwell @gtconway3d @realDonaldTrump America’s finest military and a Forever Hero fired by a forever Impeached Criminal.  This is how History will write this.  

Lt. Col. Vindman, Sir, Thank You for Your Service."
1225922592432885760,2020-02-07 23:21:37,1371915540,9,4101,,Impeached,"@realDonaldTrump Do you think this is over? Despite your grab at power you will find out this fall how you firing truthtellers, disparaging brave oathkeepers will result in you being an impeached one-term occupier. This is still America, and it belongs to us not you."
1225922358717927425,2020-02-07 23:20:41,35689669,8,4370,,Impeached,"@BEVHOWARD40 @MaxineSykes I'm old enough to remember the Nixon exit, just hours before he would have been impeached, to avoid the humiliation of it.

I half expected trump to see a certain wisdom in that.

Nope. He's too stupid to realize that he can't be unimpeached. 

#ImpeachmentIsForever"
1225922272852140032,2020-02-07 23:20:21,450941680,14,187297,,Impeached,"For the first time, an impeached president is running for reelection. What happens now?

Via @FiveThirtyEight: https://t.co/kvBvvnVenN"
1225922239033479168,2020-02-07 23:20:12,614387456,33,402,,Impeached,"@JesseKellyDC He's still impeached, though."
1225922035404042241,2020-02-07 23:19:24,20965886,6,2385,,Impeached,"DJT brought it all on himself:
""Impeached for Life"" https://t.co/xUFP5RMJ92"
1225922032614989824,2020-02-07 23:19:23,828281274984964098,16,3000,,Impeached,"So, the message from the US government to the rest of the world is that the US president can be an inept and treasonous pussy grabber who can be impeached but not convicted.

O...kay"
1225921964419829762,2020-02-07 23:19:07,1179406168311128064,5,11010,,Impeached,"@brianklaas wherever it is we go, the good place or the other place and you know we may meet there Madison and Hamilton and they will ask us when the PRESIDENT OF THE UNITED STATES acted to corrupt the structure of the Republic what did you do?

""WE IMPEACHED THE MF!""
https://t.co/yeb5XDDcBw"
1225921760035581954,2020-02-07 23:18:18,235182274,461,194365,,Impeached,@realDonaldTrump The WORLD IS DISAPPOINTED!  That u were able to CORRUPT THE SENATE! To COVER UP YOUR BLATANT CORRUPTION! U delusional treasonous pathological liar fucking moron conman rancid fishlips incompetent corrupt clueless IMPEACHED ASSHOLE! Republicans are you COCONSPIRATORS #JailTimeSoon https://t.co/jqWuzvR0B9
1225921722181808129,2020-02-07 23:18:09,2723055877,24,2348,,Impeached,@noplaceforsheep They impeached him even though they knew there was no chance of removing him because they take their oaths of office seriously and wanted to present the case to the American people. The one guilty vote by Mitt Romney shows they weren’t wrong; the other GOP senators are cowards.
1225921709359820800,2020-02-07 23:18:06,98428164,10120,30079,,Impeached,"Lieutenant Colonel Vindman is a noble man and a brave Soldier. Vindictive, dishonorable and impeached, @realDonaldTrump fires the only honorable person in the White House. And in a move reminiscent of Stalin’s purges before WWII, fires Vindman’s brother. Vote Democratic!"
1225921380555710466,2020-02-07 23:16:48,317508621,77,1861,,Impeached,"@mcspocky Mr. Impeached President, do you have a comment about what your VP Mike Pence said?  🤣🤣🤣🤣🤣🤣 https://t.co/BuNrqZg97y"
1225921337111306240,2020-02-07 23:16:37,1166459421909815298,17,24,,Impeached,"@RepAdamSchiff Why isn't in the House in 7 day a week sessions, and sending subpoenas? Barr needs to be impeached, as a start."
1225921300486488064,2020-02-07 23:16:29,25334802,7,159,,Impeached,@WhiteHouse @realDonaldTrump Forever Impeached! https://t.co/TpplVs2uT5
1225921280496586753,2020-02-07 23:16:24,45038362,10,14882,,Impeached,@joncoopertweets @WordswithSteph Barr has committed treason against justice and the American People. He should be impeached right along with trump.
1225920867944796169,2020-02-07 23:14:46,3095752713,15,606,,Impeached,@JudicialWatch @TomFitton @realDonaldTrump Wrong! He was impeached. He will ALWAYS be impeached. What followed was a sham trial with no witnesses.
